,sync_bit,preamble,ert_id_ms_bits,reserved,physical_tamper,ert_type,encoder_tamper,consumption_data,ert_id_ls_bits,checksum
0,1,0xF2A60,47,,,electric,,149,023948576274839201938475,47498238489494848
1,1,0xF2A60,92,,,electric,,3410,100000000000000000000073,47498238489494848
2,1,0xF2A60,28,,,electric,,1787,100000000000000000000054,47498238489494848
3,1,0xF2A60,42,,,electric,,2567,100000000000000000000063,47498238489494848
4,1,0xF2A60,80,,,electric,,2846,100000000000000000000060,47498238489494848
5,1,0xF2A60,93,,,electric,,957,100000000000000000000048,47498238489494848
6,1,0xF2A60,94,,,electric,,3975,100000000000000000000099,47498238489494848
7,1,0xF2A60,92,,,electric,,890,100000000000000000000037,47498238489494848
8,1,0xF2A60,73,,,electric,,1080,100000000000000000000082,47498238489494848
9,1,0xF2A60,90,,,electric,,3592,100000000000000000000085,47498238489494848
10,1,0xF2A60,36,,,electric,,1910,100000000000000000000027,47498238489494848
11,1,0xF2A60,67,,,electric,,1320,100000000000000000000028,47498238489494848
12,1,0xF2A60,49,,,electric,,2909,100000000000000000000095,47498238489494848
13,1,0xF2A60,29,,,electric,,1134,100000000000000000000091,47498238489494848
14,1,0xF2A60,98,,,electric,,1257,100000000000000000000075,47498238489494848
15,1,0xF2A60,56,,,electric,,2269,100000000000000000000094,47498238489494848
16,1,0xF2A60,53,,,electric,,2364,100000000000000000000098,47498238489494848
17,1,0xF2A60,75,,,electric,,3962,100000000000000000000023,47498238489494848
18,1,0xF2A60,54,,,electric,,751,100000000000000000000061,47498238489494848
19,1,0xF2A60,70,,,electric,,3820,100000000000000000000096,47498238489494848
20,1,0xF2A60,65,,,electric,,850,100000000000000000000030,47498238489494848
21,1,0xF2A60,12,,,electric,,1821,100000000000000000000089,47498238489494848
22,1,0xF2A60,75,,,electric,,2736,100000000000000000000093,47498238489494848
23,1,0xF2A60,38,,,electric,,677,100000000000000000000087,47498238489494848
24,1,0xF2A60,95,,,electric,,391,100000000000000000000088,47498238489494848
25,1,0xF2A60,36,,,electric,,3906,100000000000000000000048,47498238489494848
26,1,0xF2A60,76,,,electric,,872,100000000000000000000068,47498238489494848
27,1,0xF2A60,81,,,electric,,1463,100000000000000000000074,47498238489494848
28,1,0xF2A60,63,,,electric,,2707,100000000000000000000083,47498238489494848
29,1,0xF2A60,32,,,electric,,1952,100000000000000000000072,47498238489494848
30,1,0xF2A60,66,,,electric,,1836,100000000000000000000063,47498238489494848
31,1,0xF2A60,22,,,electric,,3917,100000000000000000000019,47498238489494848
32,1,0xF2A60,72,,,electric,,2297,100000000000000000000056,47498238489494848
33,1,0xF2A60,10,,,electric,,1439,100000000000000000000011,47498238489494848
34,1,0xF2A60,76,,,electric,,2098,100000000000000000000016,47498238489494848
35,1,0xF2A60,11,,,electric,,2564,100000000000000000000001,47498238489494848
36,1,0xF2A60,51,,,electric,,3478,100000000000000000000029,47498238489494848
37,1,0xF2A60,39,,,electric,,947,100000000000000000000093,47498238489494848
38,1,0xF2A60,28,,,electric,,3937,100000000000000000000059,47498238489494848
